Bernardo Alencar;bernardo.alencar@gmail.com;3Da525a945aa
Bernardo Augusto;bernardo.augusto@hotmail.com;9#$3##B9B341
Bernardo Gabriel;bernardo.gabriel@globo.com;32$bca$#215c
Bernardo Luis;bernardo.luis@gmail.com;2d2b9eDAcB@@
Bernardo Vicente;bernardo.vicente@terra.com.br;44bb47c3B4a$
Bruno Henrique;bruno.henrique@outlook.com;5Ac75a5#c2B1
Caio Augusto;caio.augusto@globo.com;dec1a@59544D
Caio Dominic;caio.dominic@globo.com;4$eac$bBd9Da
Caio Vinicius;caio.vinicius@uol.com.br;A@45@BBD3A3d
Caleb Dominic;caleb.dominic@uol.com.br;a3#baa2bB#b3
Carlos Alberto;carlos.alberto@hotmail.com;93c$13A#2B$3
Carlos Augusto;carlos.augusto@gmail.com;2B#bc225$1Db
Carlos Eduardo;carlos.eduardo@globo.com;d41#@Dddaa7B
Carlos Miguel;carlos.miguel@uol.com.br;debD51deA@2@
Cesar Augusto;cesar.augusto@globo.com;$ccA$4D2eBB1
Cesar Luis;cesar.luis@uol.com.br;4deccBecb4cB
Davi Luca;davi.luca@terra.com.br;$2A@bAaD4aB9
Davi Lucas;davi.lucas@globo.com;b9$eA271aD$#
Davi Luiz;davi.luiz@terra.com.br;d34B9942eDB7
Davi Miguel;davi.miguel@globo.com;54AA7A@A955#
Diogo Armando;diogo.armando@hotmail.com;db4e1aAad9@5
Enrico Vicente;enrico.vicente@terra.com.br;4A9c@De5e94B
Enzo Gabriel;enzo.gabriel@globo.com;3D9$a5eAd92a
Maria Roberta;maria.roberta@globo.com;cc2b252bce4B
Maria Tarsila;maria.tarsila@gmail.com;a@Aedd$1$$BB
Maria Teresa;maria.teresa@terra.com.br;5$aBd1@#94$1
Maria Valentina;maria.valentina@uol.com.br;7AA2$BDA3ace
Maria Vitoria;maria.vitoria@hotmail.com;Bb79714a$#5d
Marília Gabriela;marília.gabriela@globo.com;eBA9bA9b1e@d
Mirela Sofia;mirela.sofia@outlook.com;5aeA3@1b9b#B
Nicole Beatriz;nicole.beatriz@outlook.com;c1$75#cA53D#
Nicole Sofia;nicole.sofia@gmail.com;5DBd5AD1a#c9
Nina Augusta;nina.augusta@terra.com.br;b3@d4BA4#$eD
Nina Maria;nina.maria@hotmail.com;$c$@75D7@c4@
Olivia Luisa;olivia.luisa@hotmail.com;DADAd2aD$@B#
Paola Fernanda;paola.fernanda@uol.com.br;##bda7#eab45
Paola Tais;paola.tais@outlook.com;7@d2c1#3#b2a
Paula Eduarda;paula.eduarda@terra.com.br;95#e4cdcc25A
Paula Fernanda;paula.fernanda@outlook.com;333547D$B7d2
